Year,gdp_growth,fed_funds_rate,unemployment,inflation_rate
2000,4.1,6.235833333333333,3.966666666666667,
2001,1.0,3.8874999999999997,4.741666666666666,2.8166287567148895
2002,1.7,1.6666666666666667,5.783333333333334,1.5956695693104317
2003,2.8,1.1275,5.991666666666667,2.2979985174202966
2004,3.8,1.3491666666666668,5.541666666666667,2.6675724637681197
2005,3.5,3.2133333333333334,5.083333333333333,3.3658299880894527
2006,2.8,4.964166666666666,4.608333333333333,3.222089450324339
2007,2.0,5.019166666666666,4.616666666666666,2.870550295613361
2008,0.1,1.9275,5.8,3.8149533987371864
2009,-2.6,0.16,9.283333333333333,-0.32035759262980523
2010,2.7,0.17500000000000002,9.608333333333334,1.6365695501278754
2011,1.6,0.10166666666666667,8.933333333333334,3.1396522774534974
2012,2.3,0.14,8.075,2.0731909735035137
2013,2.1,0.1075,7.358333333333333,1.465971550975964
2014,2.5,0.08916666666666667,6.158333333333334,1.6154632879984865
2015,2.9,0.1325,5.2749999999999995,0.12113723253701636
2016,1.8,0.395,4.875,1.2673605433996427
2017,2.5,1.0016666666666667,4.358333333333333,2.1314449500271726
2018,3.0,1.8316666666666668,3.891666666666666,2.438999514525486
2019,2.6,2.158333333333333,3.6750000000000003,1.813258621914171
2020,-2.1,0.3758333333333333,8.1,1.2529373358571405
2021,6.2,0.08,5.3500000000000005,4.681242996018686
2022,2.5,1.6833333333333333,3.65,7.990820747791694
