Variable,Mean_Y0,Median_Y0,Mean_Y1,Median_Y1,MW_pvalue,Sig
Liabilities / Total Assets,0.7019825944258715,0.697525079408521,0.9042918916905598,0.867199432718982,1.0491808811033345e-14,***
EBITDA / Interest Expense,13.531698615437223,4.365173288250212,3.135206743396695,1.509830908375934,1.43567757356725e-18,***
Current Ratio,1.936636218068317,1.3871515219444883,1.516554819369191,1.1135453844934111,8.582512110076112e-05,***
Quick Ratio,1.4614025177308663,1.04195920819241,1.1228436550664789,0.895885555537816,0.00018140575221583093,***
Net Profit / Total Assets,-0.005796972422295601,0.019263296538457337,-0.15152422809963803,-0.08580047518620357,1.617209519323264e-26,***
EBITDA / Sales,0.2223276476479824,0.19915099064441497,0.13213962235209428,0.11036422766709426,2.609966458936743e-07,***
Operating CF / Total Assets,0.06735906816267645,0.067926157633141,0.02757979037105098,0.031468283893034216,7.158282913636375e-10,***
Log Total Assets,8.016451101106822,8.07383928276526,7.542533426071802,7.411504926975602,2.4384263409007225e-05,***
Altman Z-Score,2.558742606063062,1.897436490352782,1.2061339976883663,1.108556782537254,9.585063451666849e-16,***
Distance to Default,1.8449101486371355,1.3651709296238776,0.26030168155793476,-0.23731658669329306,2.576311494414645e-25,***
