Variable,N_nondefault,N_default,Mean_Y0,Median_Y0,Std_Y0,Mean_Y1,Median_Y1,Std_Y1,Cohens_d,MW_stat,MW_pvalue,Sig,Rank
distance_to_default,2273,109,1.8449,1.3652,1.9373,0.2603,-0.2373,1.3621,0.9463,196802.0,0.0,***,1
NITA,2883,153,-0.0058,0.0193,0.1365,-0.1515,-0.0858,0.2304,0.7695,333149.0,0.0,***,2
LIABTA,2868,152,0.702,0.6975,0.2601,0.9043,0.8672,0.3421,0.6657,136955.0,0.0,***,3
EQTA,2883,152,0.2955,0.3016,0.2641,0.0943,0.1328,0.3457,0.6541,299604.0,0.0,***,4
LIABTA_chg,2638,136,0.0174,0.0026,0.125,0.1104,0.0698,0.1847,0.5896,110696.0,0.0,***,5
NITA_chg,2651,137,-0.0043,-0.0002,0.1286,-0.1038,-0.03,0.2193,0.5533,229933.5,0.0,***,6
NPSA,2898,153,-0.0538,0.0369,0.4962,-0.3806,-0.132,0.677,0.5505,330019.0,0.0,***,7
EQLIAB,2868,152,0.708,0.4322,1.0163,0.3134,0.1531,0.7144,0.4492,298517.0,0.0,***,8
CFTA,2873,150,0.0674,0.0679,0.083,0.0276,0.0315,0.0994,0.4343,279696.0,0.0,***,9
EBITTA,2727,143,0.1053,0.1065,0.0906,0.0652,0.0736,0.1092,0.3991,244097.0,0.0,***,10
EBITDATA,2727,143,0.1053,0.1065,0.0906,0.0652,0.0736,0.1092,0.3991,244097.0,0.0,***,11
NPSA_chg,2669,136,0.003,0.0,0.4376,-0.2,-0.0402,0.6376,0.3711,223539.0,5e-06,***,12
EBITDAFE,2671,137,13.5317,4.3652,38.7771,3.1352,1.5098,8.7103,0.3699,264359.0,0.0,***,13
OCACL,2817,147,0.5954,0.4292,0.8853,0.2787,0.0843,0.8652,0.3619,273713.5,0.0,***,14
altman_zscore_raw,2885,153,2.5587,1.8974,5.1349,1.2061,1.1086,1.553,0.3566,305625.0,0.0,***,15
GPSA,2617,126,0.3258,0.3118,0.1749,0.27,0.2343,0.1885,0.3067,198133.5,0.000128,***,16
LNTA,2885,153,8.0165,8.0738,1.6406,7.5425,7.4115,1.4703,0.3042,265325.0,2.4e-05,***,17
LNSA,2901,154,7.298,7.4545,1.7022,6.8209,6.7816,1.4706,0.3,267586.5,3.4e-05,***,18
CFSA,2884,150,0.1337,0.1241,0.2963,0.0405,0.0514,0.3264,0.2989,281813.0,0.0,***,19
EBITDASA,2742,143,0.2223,0.1992,0.2903,0.1321,0.1104,0.3227,0.2938,246061.0,0.0,***,20
EQFA,2731,149,5.6609,0.8818,18.4244,1.5635,0.3513,11.646,0.2658,289811.0,0.0,***,21
EQG,2670,138,0.1263,0.0438,1.3675,-0.291,-0.1685,1.7674,0.2641,241978.0,0.0,***,22
CFG,2690,138,0.1,0.0074,2.4257,-0.4558,-0.2439,2.3279,0.2338,230808.5,1e-06,***,23
QR,2641,141,1.4614,1.042,1.7067,1.1228,0.8959,1.3328,0.2211,220980.5,0.000181,***,24
CR,2818,148,1.9366,1.3872,2.4227,1.5166,1.1135,2.2253,0.1806,248415.5,8.6e-05,***,25
LTFFA,2698,146,22.0478,2.4132,85.2466,9.8588,1.6989,55.5072,0.1695,251594.0,0.0,***,26
CFTA_chg,2643,134,-0.002,0.0,0.0635,-0.014,-0.0098,0.0798,0.1668,198165.0,0.019888,*,27
LTLTA,2876,152,0.3723,0.3516,0.2517,0.4217,0.3916,0.348,0.1626,207489.0,0.291214,n.s.,28
EBITDAEQ,2726,143,0.4109,0.3014,1.2876,0.1918,0.1623,1.4113,0.1622,235384.0,2.8e-05,***,29
NITE,2881,152,0.0482,0.0858,0.8846,-0.1764,0.0023,1.7883,0.1592,251535.0,0.001961,**,30
SG,2691,138,0.1984,0.0568,0.7166,0.0801,-0.0252,0.7814,0.1578,239276.0,0.0,***,31
EQFA_chg,2490,132,-0.3035,-0.01,4.4746,-0.8443,-0.2671,2.5958,0.1478,216742.0,0.0,***,32
EBITDA_G,2560,130,0.1348,0.0438,1.1802,-0.0225,-0.1335,1.8736,0.1005,207473.0,2e-06,***,33
EBITDAFE_chg,2445,122,-0.8497,0.0135,24.0364,-2.6081,-0.4432,14.6041,0.0884,173042.5,0.002781,**,34
NPG,2703,138,-0.2908,-0.0443,5.0335,0.1756,-0.0405,8.7199,0.0655,178313.0,0.383351,n.s.,35
CFEQ,2872,150,0.244,0.2036,0.8004,0.2196,0.1095,0.9113,0.0285,253638.0,0.000242,***,36
SATA,2883,153,0.7433,0.4969,0.725,0.7255,0.5296,0.6323,0.0261,213916.0,0.530145,n.s.,37
DE,2868,152,3.5213,1.8097,10.118,3.736,2.019,14.3153,0.0173,225948.0,0.446243,n.s.,38
